"Status","IntValue","HexValue","Description"
"STATUS_SERIAL_COUNTER_TIMEOUT","1073741836","0x4000000C","{Serial IOCTL Timeout} A serial I/O operation completed because the time-out period expired. (The IOCTL_SERIAL_XOFF_COUNTER had not reached zero.)"
"STATUS_NULL_LM_PASSWORD","1073741837","0x4000000D","{Password Too Complex} The Windows password is too complex to be converted to a LAN Manager password. The LAN Manager password returned is a NULL string."
"STATUS_RECEIVE_PARTIAL","1073741839","0x4000000F","{Partial Data Received} The network transport returned partial data to its client. The remaining data will be sent later."
"STATUS_RECEIVE_EXPEDITED","1073741840","0x40000010","{Expedited Data Received} The network transport returned data to its client that was marked as expedited by the remote system."
"STATUS_EVENT_DONE","1073741842","0x40000012","{TDI Event Done} The TDI indication has completed successfully."
"STATUS_EVENT_PENDING","1073741843","0x40000013","{TDI Event Pending} The TDI indication has entered the pending state."
"STATUS_CHECKING_FILE_SYSTEM","1073741844","0x40000014","Checking file system on wZ"
"STATUS_FATAL_APP_EXIT","1073741845","0x40000015","{Fatal Application Exit} %hs"
"STATUS_PREDEFINED_HANDLE","1073741846","0x40000016","The specified registry key is referenced by a predefined handle."
"STATUS_WAS_UNLOCKED","1073741847","0x40000017","{Page Unlocked} The page protection of a locked page was changed to 'No Access' and the page was unlocked from memory and from the process."
"STATUS_SERVICE_NOTIFICATION","1073741848","0x40000018","%hs"
"STATUS_WAS_LOCKED","1073741849","0x40000019","{Page Locked} One of the pages to lock was already locked."
"STATUS_ALREADY_WIN32","1073741851","0x4000001B","STATUS_ALREADY_WIN32"
"STATUS_WX86_UNSIMULATE","1073741852","0x4000001C","Exception status code used by Win32 x86 emulation subsystem."
"STATUS_WX86_CONTINUE","1073741853","0x4000001D","Exception status code used by Win32 x86 emulation subsystem."
"STATUS_WX86_SINGLE_STEP","1073741854","0x4000001E","Exception status code used by Win32 x86 emulation subsystem."
"STATUS_WX86_BREAKPOINT","1073741855","0x4000001F","Exception status code used by Win32 x86 emulation subsystem."
"STATUS_WX86_EXCEPTION_CONTINUE","1073741856","0x40000020","Exception status code used by Win32 x86 emulation subsystem."
"STATUS_WX86_EXCEPTION_CHAIN","1073741858","0x40000022","Exception status code used by Win32 x86 emulation subsystem."
"STATUS_NO_YIELD_PERFORMED","1073741860","0x40000024","A yield execution was performed and no thread was available to run."
"STATUS_TIMER_RESUME_IGNORED","1073741861","0x40000025","The resumable flag to a timer API was ignored."
"STATUS_ARBITRATION_UNHANDLED","1073741862","0x40000026","The arbiter has deferred arbitration of these resources to its parent"
"STATUS_CARDBUS_NOT_SUPPORTED","1073741863","0x40000027","The device ""%hs"" has detected a CardBus card in its slot, but the firmware on this system is not configured to allow the CardBus controller to be run in CardBus mode. The operating system will currently accept only 16-bit (R2) pc-cards on this controller."
"STATUS_WX86_CREATEWX86TIB","1073741864","0x40000028","Exception status code used by Win32 x86 emulation subsystem."
"STATUS_MP_PROCESSOR_MISMATCH","1073741865","0x40000029","The CPUs in this multiprocessor system are not all the same revision level. To use all processors the operating system restricts itself to the features of the least capable processor in the system. Should problems occur with this system, contact the CPU manufacturer to see if this mix of processors is supported."
"STATUS_HIBERNATED","1073741866","0x4000002A","The system was put into hibernation."
"STATUS_RESUME_HIBERNATION","1073741867","0x4000002B","The system was resumed from hibernation."
"STATUS_MESSAGE_RETRIEVED","1073741870","0x4000002E","The ALPC message being canceled has already been retrieved from the queue on the other side."
"STATUS_ABANDON_HIBERFILE","1073741875","0x40000033","A valid hibernation file has been invalidated and should be abandoned."
"STATUS_BIZRULES_NOT_ENABLED","1073741876","0x40000034","Business rule scripts are disabled for the calling application."
"STATUS_FT_READ_FROM_COPY","1073741877","0x40000035","The specified copy of the requested data was successfully read."
"STATUS_IMAGE_AT_DIFFERENT_BASE","1073741878","0x40000036","{Image Relocated} An image file was mapped at a different address from the one specified in the image file but fixups will still be automatically performed on the image."
"DBG_REPLY_LATER","1073807361","0x40010001","Debugger will reply later."
"DBG_UNABLE_TO_PROVIDE_HANDLE","1073807362","0x40010002","Debugger cannot provide handle."
"DBG_TERMINATE_THREAD","1073807363","0x40010003","Debugger terminated thread."
"DBG_TERMINATE_PROCESS","1073807364","0x40010004","Debugger terminated process."
"DBG_CONTROL_C","1073807365","0x40010005","Debugger got control C."
"DBG_PRINTEXCEPTION_C","1073807366","0x40010006","Debugger printed exception on control C."
"DBG_RIPEXCEPTION","1073807367","0x40010007","Debugger received RIP exception."
"DBG_CONTROL_BREAK","1073807368","0x40010008","Debugger received control break."
"DBG_COMMAND_EXCEPTION","1073807369","0x40010009","Debugger command communication exception."
"STATUS_GUARD_PAGE_VIOLATION","-2147483647","0x80000001","{EXCEPTION}Guard Page Exception. A page of memory that marks the end of a data structure, such as a stack or an array, has been accessed."
"STATUS_DATATYPE_MISALIGNMENT","-2147483646","0x80000002","{EXCEPTION}Alignment Fault. A datatype misalignment was detected in a load or store instruction."
"STATUS_BREAKPOINT","-2147483645","0x80000003","{EXCEPTION} Breakpoint. A breakpoint has been reached."
"STATUS_SINGLE_STEP","-2147483644","0x80000004","{EXCEPTION} Single Step. A single step or trace operation has just been completed."
"STATUS_BUFFER_OVERFLOW","-2147483643","0x80000005","{Buffer Overflow} The data was too large to fit into the specified buffer."
"STATUS_NO_MORE_FILES","-2147483642","0x80000006","{No More Files} No more files were found which match the file specification."
"STATUS_WAKE_SYSTEM_DEBUGGER","-2147483641","0x80000007","{Kernel Debugger Awakened} the system debugger was awakened by an interrupt."
"STATUS_HANDLES_CLOSED","-2147483638","0x8000000A","{Handles Closed} Handles to objects have been automatically closed as a result of the requested operation."
"STATUS_NO_INHERITANCE","-2147483637","0x8000000B","{Non-Inheritable ACL} An access control list (ACL) contains no components that can be inherited."
"STATUS_GUID_SUBSTITUTION_MADE","-2147483636","0x8000000C","{GUID Substitution} During the translation of a global identifier (GUID) to a Windows security ID (SID), no administratively-defined GUID prefix was found. A substitute prefix was used, which will not compromise system security. However, this may provide a more restrictive access than intended."
"STATUS_PARTIAL_COPY","-2147483635","0x8000000D","{Partial Copy} Due to protection conflicts not all the requested bytes could be copied."
"STATUS_DEVICE_PAPER_EMPTY","-2147483634","0x8000000E","{Out of Paper} The printer is out of paper."
"STATUS_DEVICE_POWERED_OFF","-2147483633","0x8000000F","{Device Power Is Off} The printer power has been turned off."
"STATUS_DEVICE_OFF_LINE","-2147483632","0x80000010","{Device Offline} The printer has been taken offline."
"STATUS_DEVICE_BUSY","-2147483631","0x80000011","{Device Busy} The device is currently busy."
"STATUS_NO_MORE_EAS","-2147483630","0x80000012","{No More EAs} No more extended attributes (EAs) were found for the file."
"STATUS_INVALID_EA_NAME","-2147483629","0x80000013","{Illegal EA} The specified extended attribute (EA) name contains at least one illegal character."
"STATUS_EA_LIST_INCONSISTENT","-2147483628","0x80000014","{Inconsistent EA List} The extended attribute (EA) list is inconsistent."
"STATUS_INVALID_EA_FLAG","-2147483627","0x80000015","{Invalid EA Flag} An invalid extended attribute (EA) flag was set."
"STATUS_VERIFY_REQUIRED","-2147483626","0x80000016","{Verifying Disk} The media has changed and a verify operation is in progress so no reads or writes may be performed to the device, except those used in the verify operation."
"STATUS_EXTRANEOUS_INFORMATION","-2147483625","0x80000017","{Too Much Information} The specified access control list (ACL) contained more information than was expected."
"STATUS_RXACT_COMMIT_NECESSARY","-2147483624","0x80000018","This warning level status indicates that the transaction state already exists for the registry sub-tree, but that a transaction commit was previously aborted. The commit has NOT been completed, but has not been rolled back either (so it may still be committed if desired)."
"STATUS_NO_MORE_ENTRIES","-2147483622","0x8000001A","{No More Entries} No more entries are available from an enumeration operation."
"STATUS_FILEMARK_DETECTED","-2147483621","0x8000001B","{Filemark Found} A filemark was detected."
"STATUS_MEDIA_CHANGED","-2147483620","0x8000001C","{Media Changed} The media may have changed."
"STATUS_BUS_RESET","-2147483619","0x8000001D","{I/O Bus Reset} An I/O bus reset was detected."
"STATUS_END_OF_MEDIA","-2147483618","0x8000001E","{End of Media} The end of the media was encountered."
"STATUS_BEGINNING_OF_MEDIA","-2147483617","0x8000001F","Beginning of tape or partition has been detected."
"STATUS_MEDIA_CHECK","-2147483616","0x80000020","{Media Changed} The media may have changed."
"STATUS_SETMARK_DETECTED","-2147483615","0x80000021","A tape access reached a setmark."
"STATUS_NO_DATA_DETECTED","-2147483614","0x80000022","During a tape access, the end of the data written is reached."
"STATUS_SERVER_HAS_OPEN_HANDLES","-2147483612","0x80000024","The server is in use and cannot be unloaded."
"STATUS_ALREADY_DISCONNECTED","-2147483611","0x80000025","The specified connection has already been disconnected."
"STATUS_LONGJUMP","-2147483610","0x80000026","A long jump has been executed."
"STATUS_PLUGPLAY_QUERY_VETOED","-2147483608","0x80000028","The Plug and Play query operation was not successful."
"STATUS_UNWIND_CONSOLIDATE","-2147483607","0x80000029","A frame consolidation has been executed."
"STATUS_REGISTRY_HIVE_RECOVERED","-2147483606","0x8000002A","{Registry Hive Recovered} Registry hive (file): %hs was corrupted and it has been recovered. Some data might have been lost."
"STATUS_DLL_MIGHT_BE_INSECURE","-2147483605","0x8000002B","The application is attempting to run executable code from the module %hs. This may be insecure. An alternative, %hs, is available. Should the application use the secure module %hs?"
"STATUS_STOPPED_ON_SYMLINK","-2147483603","0x8000002D","The create operation stopped after reaching a symbolic link."
"STATUS_NO_ACE_CONDITION","-2147483601","0x8000002F","{No ACE Condition} The specified access control entry (ACE) does not contain a condition."
"DBG_EXCEPTION_NOT_HANDLED","-2147418111","0x80010001","Debugger did not handle the exception."
"STATUS_CLUSTER_NODE_ALREADY_UP","-2146238463","0x80130001","The cluster node is already up."
"STATUS_FLT_BUFFER_TOO_SMALL","-2145648639","0x801C0001","{Buffer too small} The buffer is too small to contain the entry. No information has been written to the buffer."
"STATUS_FVE_PARTIAL_METADATA","-2145320959","0x80210001","Volume Metadata read or write is incomplete."
"STATUS_FVE_TRANSIENT_STATE","-2145320958","0x80210002","BitLocker encryption keys were ignored because the volume was in a transient state."
"STATUS_UNSUCCESSFUL","-1073741823","0xC0000001","{Operation Failed} The requested operation was unsuccessful."
"STATUS_NOT_IMPLEMENTED","-1073741822","0xC0000002","{Not Implemented} The requested operation is not implemented."
"STATUS_INVALID_INFO_CLASS","-1073741821","0xC0000003","{Invalid Parameter} The specified information class is not a valid information class for the specified object."
"STATUS_INFO_LENGTH_MISMATCH","-1073741820","0xC0000004","The specified information record length does not match the length required for the specified information class."
"STATUS_ACCESS_VIOLATION","-1073741819","0xC0000005","The instruction at 0x"
"STATUS_IN_PAGE_ERROR","-1073741818","0xC0000006","The instruction at 0xp referenced memory at 0xp. The required data was not placed into memory because of an I/O error status of 0xx."
"STATUS_PAGEFILE_QUOTA","-1073741817","0xC0000007","The pagefile quota for the process has been exhausted."
"STATUS_INVALID_HANDLE","-1073741816","0xC0000008","An invalid HANDLE was specified."
"STATUS_BAD_INITIAL_STACK","-1073741815","0xC0000009","An invalid initial stack was specified in a call to NtCreateThread."
"STATUS_BAD_INITIAL_PC","-1073741814","0xC000000A","An invalid initial start address was specified in a call to NtCreateThread."
"STATUS_INVALID_CID","-1073741813","0xC000000B","An invalid Client ID was specified."
"STATUS_TIMER_NOT_CANCELED","-1073741812","0xC000000C","An attempt was made to cancel or set a timer that has an associated APC and the subject thread is not the thread that originally set the timer with an associated APC routine."
"STATUS_INVALID_PARAMETER","-1073741811","0xC000000D","An invalid parameter was passed to a service or function."
"STATUS_NO_SUCH_DEVICE","-1073741810","0xC000000E","A device which does not exist was specified."
"STATUS_NO_SUCH_FILE","-1073741809","0xC000000F","{File Not Found} The file %hs does not exist."
"STATUS_INVALID_DEVICE_REQUEST","-1073741808","0xC0000010","The specified request is not a valid operation for the target device."
"STATUS_END_OF_FILE","-1073741807","0xC0000011","The end-of-file marker has been reached. There is no valid data in the file beyond this marker."
"STATUS_WRONG_VOLUME","-1073741806","0xC0000012","{Wrong Volume} The wrong volume is in the drive. Please insert volume %hs into drive %hs."
"STATUS_NO_MEDIA_IN_DEVICE","-1073741805","0xC0000013","{No Disk} There is no disk in the drive. Please insert a disk into drive %hs."
"STATUS_UNRECOGNIZED_MEDIA","-1073741804","0xC0000014","{Unknown Disk Format} The disk in drive %hs is not formatted properly. Please check the disk, and reformat if necessary."
"STATUS_NONEXISTENT_SECTOR","-1073741803","0xC0000015","{Sector Not Found} The specified sector does not exist."
"STATUS_MORE_PROCESSING_REQUIRED","-1073741802","0xC0000016","{Still Busy} The specified I/O request packet (IRP) cannot be disposed of because the I/O operation is not complete."
"STATUS_NO_MEMORY","-1073741801","0xC0000017","{Not Enough Quota} Not enough virtual memory or paging file quota is available to complete the specified operation."
"STATUS_CONFLICTING_ADDRESSES","-1073741800","0xC0000018","{Conflicting Address Range} The specified address range conflicts with the address space."
"STATUS_NOT_MAPPED_VIEW","-1073741799","0xC0000019","Address range to unmap is not a mapped view."
"STATUS_UNABLE_TO_FREE_VM","-1073741798","0xC000001A","Virtual memory cannot be freed."
"STATUS_UNABLE_TO_DELETE_SECTION","-1073741797","0xC000001B","Specified section cannot be deleted."
"STATUS_INVALID_SYSTEM_SERVICE","-1073741796","0xC000001C","An invalid system service was specified in a system service call."
"STATUS_ILLEGAL_INSTRUCTION","-1073741795","0xC000001D","{EXCEPTION} Illegal Instruction. An attempt was made to execute an illegal instruction."
"STATUS_INVALID_LOCK_SEQUENCE","-1073741794","0xC000001E","{Invalid Lock Sequence} An attempt was made to execute an invalid lock sequence."
"STATUS_INVALID_VIEW_SIZE","-1073741793","0xC000001F","{Invalid Mapping} An attempt was made to create a view for a section which is bigger than the section."
"STATUS_INVALID_FILE_FOR_SECTION","-1073741792","0xC0000020","{Bad File} The attributes of the specified mapping file for a section of memory cannot be read."
"STATUS_ALREADY_COMMITTED","-1073741791","0xC0000021","{Already Committed} The specified address range is already committed."
"STATUS_ACCESS_DENIED","-1073741790","0xC0000022","{Access Denied} A process has requested access to an object, but has not been granted those access rights."
"STATUS_BUFFER_TOO_SMALL","-1073741789","0xC0000023","{Buffer Too Small} The buffer is too small to contain the entry. No information has been written to the buffer."
"STATUS_OBJECT_TYPE_MISMATCH","-1073741788","0xC0000024","{Wrong Type} There is a mismatch between the type of object required by the requested operation and the type of object that is specified in the request."
"STATUS_NONCONTINUABLE_EXCEPTION","-1073741787","0xC0000025","{EXCEPTION} Cannot Continue. Windows cannot continue from this exception."
"STATUS_INVALID_DISPOSITION","-1073741786","0xC0000026","An invalid exception disposition was returned by an exception handler."
"STATUS_UNWIND","-1073741785","0xC0000027","Unwind exception code."
"STATUS_BAD_STACK","-1073741784","0xC0000028","An invalid or unaligned stack was encountered during an unwind operation."
"STATUS_INVALID_UNWIND_TARGET","-1073741783","0xC0000029","An invalid unwind target was encountered during an unwind operation."
"STATUS_NOT_LOCKED","-1073741782","0xC000002A","An attempt was made to unlock a page of memory which was not locked."
"STATUS_PARITY_ERROR","-1073741781","0xC000002B","Device parity error on I/O operation."
"STATUS_UNABLE_TO_DECOMMIT_VM","-1073741780","0xC000002C","An attempt was made to decommit uncommitted virtual memory."
"STATUS_NOT_COMMITTED","-1073741779","0xC000002D","An attempt was made to change the attributes on memory that has not been committed."
"STATUS_INVALID_PORT_ATTRIBUTES","-1073741778","0xC000002E","Invalid Object Attributes specified to NtCreatePort or invalid Port Attributes specified to NtConnectPort"
"STATUS_PORT_MESSAGE_TOO_LONG","-1073741777","0xC000002F","Length of message passed to NtRequestPort or NtRequestWaitReplyPort was longer than the maximum message allowed by the port."
"STATUS_INVALID_PARAMETER_MIX","-1073741776","0xC0000030","An invalid combination of parameters was specified."
"STATUS_INVALID_QUOTA_LOWER","-1073741775","0xC0000031","An attempt was made to lower a quota limit below the current usage."
"STATUS_DISK_CORRUPT_ERROR","-1073741774","0xC0000032","{Corrupt Disk} The file system structure on the disk is corrupt and unusable. Please run the Chkdsk utility on the volume %hs."
"STATUS_OBJECT_NAME_INVALID","-1073741773","0xC0000033","Object Name invalid."
"STATUS_OBJECT_NAME_NOT_FOUND","-1073741772","0xC0000034","Object Name not found."
"STATUS_OBJECT_NAME_COLLISION","-1073741771","0xC0000035","Object Name already exists."
"STATUS_PORT_DISCONNECTED","-1073741769","0xC0000037","Attempt to send a message to a disconnected communication port."
"STATUS_DEVICE_ALREADY_ATTACHED","-1073741768","0xC0000038","An attempt was made to attach to a device that was already attached to another device."
"STATUS_OBJECT_PATH_INVALID","-1073741767","0xC0000039","Object Path Component was not a directory object."
"STATUS_OBJECT_PATH_NOT_FOUND","-1073741766","0xC000003A","{Path Not Found} The path %hs does not exist."
"STATUS_OBJECT_PATH_SYNTAX_BAD","-1073741765","0xC000003B","Object Path Component was not a directory object."
