"Status","IntValue","HexValue","Description"
"STATUS_INVALID_PARAMETER_1","-1073741585","0xC00000EF","An invalid parameter was passed to a service or function as the first argument."
"STATUS_INVALID_PARAMETER_2","-1073741584","0xC00000F0","An invalid parameter was passed to a service or function as the second argument."
"STATUS_INVALID_PARAMETER_3","-1073741583","0xC00000F1","An invalid parameter was passed to a service or function as the third argument."
"STATUS_INVALID_PARAMETER_4","-1073741582","0xC00000F2","An invalid parameter was passed to a service or function as the fourth argument."
"STATUS_INVALID_PARAMETER_5","-1073741581","0xC00000F3","An invalid parameter was passed to a service or function as the fifth argument."
"STATUS_INVALID_PARAMETER_6","-1073741580","0xC00000F4","An invalid parameter was passed to a service or function as the sixth argument."
"STATUS_INVALID_PARAMETER_7","-1073741579","0xC00000F5","An invalid parameter was passed to a service or function as the seventh argument."
"STATUS_INVALID_PARAMETER_8","-1073741578","0xC00000F6","An invalid parameter was passed to a service or function as the eighth argument."
"STATUS_INVALID_PARAMETER_9","-1073741577","0xC00000F7","An invalid parameter was passed to a service or function as the ninth argument."
"STATUS_INVALID_PARAMETER_10","-1073741576","0xC00000F8","An invalid parameter was passed to a service or function as the tenth argument."
"STATUS_INVALID_PARAMETER_11","-1073741575","0xC00000F9","An invalid parameter was passed to a service or function as the eleventh argument."
"STATUS_INVALID_PARAMETER_12","-1073741574","0xC00000FA","An invalid parameter was passed to a service or function as the twelfth argument."
"STATUS_REDIRECTOR_NOT_STARTED","-1073741573","0xC00000FB","An attempt was made to access a network file, but the network software was not yet started."
"STATUS_REDIRECTOR_STARTED","-1073741572","0xC00000FC","An attempt was made to start the redirector, but the redirector has already been started."
"STATUS_STACK_OVERFLOW","-1073741571","0xC00000FD","A new guard page for the stack cannot be created."
"STATUS_NO_SUCH_PACKAGE","-1073741570","0xC00000FE","A specified authentication package is unknown."
"STATUS_BAD_FUNCTION_TABLE","-1073741569","0xC00000FF","A malformed function table was encountered during an unwind operation."
"STATUS_VARIABLE_NOT_FOUND","-1073741568","0xC0000100","Indicates the specified environment variable name was not found in the specified environment block."
"STATUS_DIRECTORY_NOT_EMPTY","-1073741567","0xC0000101","Indicates that the directory trying to be deleted is not empty."
"STATUS_FILE_CORRUPT_ERROR","-1073741566","0xC0000102","{Corrupt File} The file or directory %hs is corrupt and unreadable. Please run the Chkdsk utility."
"STATUS_NOT_A_DIRECTORY","-1073741565","0xC0000103","A requested opened file is not a directory."
"STATUS_BAD_LOGON_SESSION_STATE","-1073741564","0xC0000104","The logon session is not in a state that is consistent with the requested operation."
"STATUS_LOGON_SESSION_COLLISION","-1073741563","0xC0000105","An internal LSA error has occurred. An authentication package has requested the creation of a Logon Session but the ID of an already existing Logon Session has been specified."
"STATUS_NAME_TOO_LONG","-1073741562","0xC0000106","A specified name string is too long for its intended use."
"STATUS_FILES_OPEN","-1073741561","0xC0000107","The user attempted to force close the files on a redirected drive, but there were opened files on the drive, and the user did not specify a sufficient level of force."
"STATUS_CONNECTION_IN_USE","-1073741560","0xC0000108","The user attempted to force close the files on a redirected drive, but there were opened directories on the drive, and the user did not specify a sufficient level of force."
"STATUS_MESSAGE_NOT_FOUND","-1073741559","0xC0000109","RtlFindMessage could not locate the requested message ID in the message table resource."
"STATUS_PROCESS_IS_TERMINATING","-1073741558","0xC000010A","An attempt was made to access an exiting process."
"STATUS_INVALID_LOGON_TYPE","-1073741557","0xC000010B","Indicates an invalid value has been provided for the LogonType requested."
"STATUS_NO_GUID_TRANSLATION","-1073741556","0xC000010C","Indicates that an attempt was made to assign protection to a file system file or directory and one of the SIDs in the security descriptor could not be translated into a GUID that could be stored by the file system. This causes the protection attempt to fail, which may cause a file creation attempt to fail."
"STATUS_CANNOT_IMPERSONATE","-1073741555","0xC000010D","Indicates that an attempt has been made to impersonate via a named pipe that has not yet been read from."
"STATUS_IMAGE_ALREADY_LOADED","-1073741554","0xC000010E","Indicates that the specified image is already loaded."
"STATUS_ABIOS_NOT_PRESENT","-1073741553","0xC000010F","STATUS_ABIOS_NOT_PRESENT"
"STATUS_ABIOS_LID_NOT_EXIST","-1073741552","0xC0000110","STATUS_ABIOS_LID_NOT_EXIST"
"STATUS_ABIOS_LID_ALREADY_OWNED","-1073741551","0xC0000111","STATUS_ABIOS_LID_ALREADY_OWNED"
"STATUS_ABIOS_NOT_LID_OWNER","-1073741550","0xC0000112","STATUS_ABIOS_NOT_LID_OWNER"
"STATUS_ABIOS_INVALID_COMMAND","-1073741549","0xC0000113","STATUS_ABIOS_INVALID_COMMAND"
"STATUS_ABIOS_INVALID_LID","-1073741548","0xC0000114","STATUS_ABIOS_INVALID_LID"
"STATUS_ABIOS_INVALID_SELECTOR","-1073741546","0xC0000116","STATUS_ABIOS_INVALID_SELECTOR"
"STATUS_NO_LDT","-1073741545","0xC0000117","Indicates that an attempt was made to change the size of the LDT for a process that has no LDT."
"STATUS_INVALID_LDT_SIZE","-1073741544","0xC0000118","Indicates that an attempt was made to grow an LDT by setting its size, or that the size was not an even number of selectors."
"STATUS_INVALID_LDT_OFFSET","-1073741543","0xC0000119","Indicates that the starting value for the LDT information was not an integral multiple of the selector size."
"STATUS_INVALID_LDT_DESCRIPTOR","-1073741542","0xC000011A","Indicates that the user supplied an invalid descriptor when trying to set up Ldt descriptors."
"STATUS_INVALID_IMAGE_NE_FORMAT","-1073741541","0xC000011B","The specified image file did not have the correct format. It appears to be NE format."
"STATUS_RXACT_INVALID_STATE","-1073741540","0xC000011C","Indicates that the transaction state of a registry sub-tree is incompatible with the requested operation. For example, a request has been made to start a new transaction with one already in progress, or a request has been made to apply a transaction when one is not currently in progress."
"STATUS_RXACT_COMMIT_FAILURE","-1073741539","0xC000011D","Indicates an error has occurred during a registry transaction commit. The database has been left in an unknown, but probably inconsistent, state. The state of the registry transaction is left as COMMITTING."
"STATUS_MAPPED_FILE_SIZE_ZERO","-1073741538","0xC000011E","An attempt was made to map a file of size zero with the maximum size specified as zero."
"STATUS_TOO_MANY_OPENED_FILES","-1073741537","0xC000011F","Too many files are opened on a remote server. This error should only be returned by the Windows redirector on a remote drive."
"STATUS_CANCELLED","-1073741536","0xC0000120","The I/O request was canceled."
"STATUS_CANNOT_DELETE","-1073741535","0xC0000121","An attempt has been made to remove a file or directory that cannot be deleted."
"STATUS_INVALID_COMPUTER_NAME","-1073741534","0xC0000122","Indicates a name specified as a remote computer name is syntactically invalid."
"STATUS_FILE_DELETED","-1073741533","0xC0000123","An I/O request other than close was performed on a file after it has been deleted, which can only happen to a request which did not complete before the last handle was closed via NtClose."
"STATUS_SPECIAL_ACCOUNT","-1073741532","0xC0000124","Indicates an operation has been attempted on a built-in (special) SAM account which is incompatible with built-in accounts. For example, built-in accounts cannot be deleted."
"STATUS_SPECIAL_GROUP","-1073741531","0xC0000125","The operation requested may not be performed on the specified group because it is a built-in special group."
"STATUS_SPECIAL_USER","-1073741530","0xC0000126","The operation requested may not be performed on the specified user because it is a built-in special user."
"STATUS_MEMBERS_PRIMARY_GROUP","-1073741529","0xC0000127","Indicates a member cannot be removed from a group because the group is currently the member's primary group."
"STATUS_FILE_CLOSED","-1073741528","0xC0000128","An I/O request other than close and several other special case operations was attempted using a file object that had already been closed."
"STATUS_TOO_MANY_THREADS","-1073741527","0xC0000129","Indicates a process has too many threads to perform the requested action. For example, assignment of a primary token may only be performed when a process has zero or one threads."
"STATUS_THREAD_NOT_IN_PROCESS","-1073741526","0xC000012A","An attempt was made to operate on a thread within a specific process, but the thread specified is not in the process specified."
"STATUS_TOKEN_ALREADY_IN_USE","-1073741525","0xC000012B","An attempt was made to establish a token for use as a primary token but the token is already in use. A token can only be the primary token of one process at a time."
"STATUS_PAGEFILE_QUOTA_EXCEEDED","-1073741524","0xC000012C","Page file quota was exceeded."
"STATUS_COMMITMENT_LIMIT","-1073741523","0xC000012D","{Out of Virtual Memory} Your system is low on virtual memory. To ensure that Windows runs properly, increase the size of your virtual memory paging file. For more information, see Help."
"STATUS_INVALID_IMAGE_LE_FORMAT","-1073741522","0xC000012E","The specified image file did not have the correct format, it appears to be LE format."
"STATUS_INVALID_IMAGE_NOT_MZ","-1073741521","0xC000012F","The specified image file did not have the correct format, it did not have an initial MZ."
"STATUS_INVALID_IMAGE_PROTECT","-1073741520","0xC0000130","The specified image file did not have the correct format, it did not have a proper e_lfarlc in the MZ header."
"STATUS_INVALID_IMAGE_WIN_16","-1073741519","0xC0000131","The specified image file did not have the correct format, it appears to be a 16-bit Windows image."
"STATUS_LOGON_SERVER_CONFLICT","-1073741518","0xC0000132","The Netlogon service cannot start because another Netlogon service running in the domain conflicts with the specified role."
"STATUS_TIME_DIFFERENCE_AT_DC","-1073741517","0xC0000133","The time at the Primary Domain Controller is different than the time at the Backup Domain Controller or member server by too large an amount."
"STATUS_SYNCHRONIZATION_REQUIRED","-1073741516","0xC0000134","The SAM database on a Windows Server is significantly out of synchronization with the copy on the Domain Controller. A complete synchronization is required."
"STATUS_DLL_NOT_FOUND","-1073741515","0xC0000135","The program can't start because %hs is missing from your computer. Try reinstalling the program to fix this problem."
"STATUS_OPEN_FAILED","-1073741514","0xC0000136","The NtCreateFile API failed. This error should never be returned to an application, it is a place holder for the Windows Lan Manager Redirector to use in its internal error mapping routines."
"STATUS_IO_PRIVILEGE_FAILED","-1073741513","0xC0000137","{Privilege Failed} The I/O permissions for the process could not be changed."
"STATUS_ORDINAL_NOT_FOUND","-1073741512","0xC0000138","{Ordinal Not Found} The ordinal ld could not be located in the dynamic link library %hs."
"STATUS_ENTRYPOINT_NOT_FOUND","-1073741511","0xC0000139","{Entry Point Not Found} The procedure entry point %hs could not be located in the dynamic link library %hs."
"STATUS_CONTROL_C_EXIT","-1073741510","0xC000013A","{Application Exit by CTRL+C} The application terminated as a result of a CTRL+C."
"STATUS_LOCAL_DISCONNECT","-1073741509","0xC000013B","{Virtual Circuit Closed} The network transport on your computer has closed a network connection. There may or may not be I/O requests outstanding."
"STATUS_REMOTE_DISCONNECT","-1073741508","0xC000013C","{Virtual Circuit Closed} The network transport on a remote computer has closed a network connection. There may or may not be I/O requests outstanding."
"STATUS_REMOTE_RESOURCES","-1073741507","0xC000013D","{Insufficient Resources on Remote Computer} The remote computer has insufficient resources to complete the network request. For instance, there may not be enough memory available on the remote computer to carry out the request at this time."
"STATUS_LINK_FAILED","-1073741506","0xC000013E","{Virtual Circuit Closed} An existing connection (virtual circuit) has been broken at the remote computer. There is probably something wrong with the network software protocol or the network hardware on the remote computer."
"STATUS_LINK_TIMEOUT","-1073741505","0xC000013F","{Virtual Circuit Closed} The network transport on your computer has closed a network connection because it had to wait too long for a response from the remote computer."
"STATUS_INVALID_CONNECTION","-1073741504","0xC0000140","The connection handle given to the transport was invalid."
"STATUS_INVALID_ADDRESS","-1073741503","0xC0000141","The address handle given to the transport was invalid."
"STATUS_DLL_INIT_FAILED","-1073741502","0xC0000142","{DLL Initialization Failed} Initialization of the dynamic link library %hs failed. The process is terminating abnormally."
"STATUS_MISSING_SYSTEMFILE","-1073741501","0xC0000143","{Missing System File} The required system file %hs is bad or missing."
"STATUS_UNHANDLED_EXCEPTION","-1073741500","0xC0000144","{Application Error} The exception s (0x"
"STATUS_APP_INIT_FAILURE","-1073741499","0xC0000145","{Application Error} The application was unable to start correctly (0xlx). Click OK to close the application."
"STATUS_PAGEFILE_CREATE_FAILED","-1073741498","0xC0000146","{Unable to Create Paging File} The creation of the paging file %hs failed (lx). The requested size was ld."
"STATUS_NO_PAGEFILE","-1073741497","0xC0000147","{No Paging File Specified} No paging file was specified in the system configuration."
"STATUS_INVALID_LEVEL","-1073741496","0xC0000148","{Incorrect System Call Level} An invalid level was passed into the specified system call."
"STATUS_WRONG_PASSWORD_CORE","-1073741495","0xC0000149","{Incorrect Password to LAN Manager Server} You specified an incorrect password to a LAN Manager 2.x or MS-NET server."
"STATUS_ILLEGAL_FLOAT_CONTEXT","-1073741494","0xC000014A","{EXCEPTION} A real-mode application issued a floating-point instruction and floating-point hardware is not present."
"STATUS_PIPE_BROKEN","-1073741493","0xC000014B","The pipe operation has failed because the other end of the pipe has been closed."
"STATUS_REGISTRY_CORRUPT","-1073741492","0xC000014C","{The Registry Is Corrupt} The structure of one of the files that contains Registry data is corrupt, or the image of the file in memory is corrupt, or the file could not be recovered because the alternate copy or log was absent or corrupt."
"STATUS_REGISTRY_IO_FAILED","-1073741491","0xC000014D","An I/O operation initiated by the Registry failed unrecoverably. The Registry could not read in, or write out, or flush, one of the files that contain the system's image of the Registry."
"STATUS_NO_EVENT_PAIR","-1073741490","0xC000014E","An event pair synchronization operation was performed using the thread specific client/server event pair object, but no event pair object was associated with the thread."
"STATUS_UNRECOGNIZED_VOLUME","-1073741489","0xC000014F","The volume does not contain a recognized file system. Please make sure that all required file system drivers are loaded and that the volume is not corrupt."
"STATUS_SERIAL_NO_DEVICE_INITED","-1073741488","0xC0000150","No serial device was successfully initialized. The serial driver will unload."
"STATUS_NO_SUCH_ALIAS","-1073741487","0xC0000151","The specified local group does not exist."
"STATUS_MEMBER_NOT_IN_ALIAS","-1073741486","0xC0000152","The specified account name is not a member of the group."
"STATUS_MEMBER_IN_ALIAS","-1073741485","0xC0000153","The specified account name is already a member of the group."
"STATUS_ALIAS_EXISTS","-1073741484","0xC0000154","The specified local group already exists."
"STATUS_LOGON_NOT_GRANTED","-1073741483","0xC0000155","A requested type of logon (e.g., Interactive, Network, Service) is not granted by the target system's local security policy. Please ask the system administrator to grant the necessary form of logon."
"STATUS_TOO_MANY_SECRETS","-1073741482","0xC0000156","The maximum number of secrets that may be stored in a single system has been exceeded. The length and number of secrets is limited to satisfy United States State Department export restrictions."
"STATUS_SECRET_TOO_LONG","-1073741481","0xC0000157","The length of a secret exceeds the maximum length allowed. The length and number of secrets is limited to satisfy United States State Department export restrictions."
"STATUS_INTERNAL_DB_ERROR","-1073741480","0xC0000158","The Local Security Authority (LSA) database contains an internal inconsistency."
"STATUS_FULLSCREEN_MODE","-1073741479","0xC0000159","The requested operation cannot be performed in fullscreen mode."
"STATUS_TOO_MANY_CONTEXT_IDS","-1073741478","0xC000015A","During a logon attempt, the user's security context accumulated too many security IDs. This is a very unusual situation. Remove the user from some global or local groups to reduce the number of security ids to incorporate into the security context."
"STATUS_LOGON_TYPE_NOT_GRANTED","-1073741477","0xC000015B","A user has requested a type of logon (e.g., interactive or network) that has not been granted. An administrator has control over who may logon interactively and through the network."
"STATUS_NOT_REGISTRY_FILE","-1073741476","0xC000015C","The system has attempted to load or restore a file into the registry, and the specified file is not in the format of a registry file."
"STATUS_FT_MISSING_MEMBER","-1073741473","0xC000015F","An attempt was made to explicitly access the secondary copy of information via a device control to the Fault Tolerance driver and the secondary copy is not present in the system."
"STATUS_ILL_FORMED_SERVICE_ENTRY","-1073741472","0xC0000160","A configuration registry node representing a driver service entry was ill-formed and did not contain required value entries."
"STATUS_ILLEGAL_CHARACTER","-1073741471","0xC0000161","An illegal character was encountered. For a multi-byte character set this includes a lead byte without a succeeding trail byte. For the Unicode character set this includes the characters 0xFFFF and 0xFFFE."
"STATUS_UNMAPPABLE_CHARACTER","-1073741470","0xC0000162","No mapping for the Unicode character exists in the target multi-byte code page."
"STATUS_UNDEFINED_CHARACTER","-1073741469","0xC0000163","The Unicode character is not defined in the Unicode character set installed on the system."
"STATUS_FLOPPY_VOLUME","-1073741468","0xC0000164","The paging file cannot be created on a floppy diskette."
"STATUS_FLOPPY_ID_MARK_NOT_FOUND","-1073741467","0xC0000165","{Floppy Disk Error} While accessing a floppy disk, an ID address mark was not found."
"STATUS_FLOPPY_WRONG_CYLINDER","-1073741466","0xC0000166","{Floppy Disk Error} While accessing a floppy disk, the track address from the sector ID field was found to be different than the track address maintained by the controller."
"STATUS_FLOPPY_UNKNOWN_ERROR","-1073741465","0xC0000167","{Floppy Disk Error} The floppy disk controller reported an error that is not recognized by the floppy disk driver."
"STATUS_FLOPPY_BAD_REGISTERS","-1073741464","0xC0000168","{Floppy Disk Error} While accessing a floppy-disk, the controller returned inconsistent results via its registers."
"STATUS_DISK_RECALIBRATE_FAILED","-1073741463","0xC0000169","{Hard Disk Error} While accessing the hard disk, a recalibrate operation failed, even after retries."
"STATUS_DISK_OPERATION_FAILED","-1073741462","0xC000016A","{Hard Disk Error} While accessing the hard disk, a disk operation failed even after retries."
"STATUS_DISK_RESET_FAILED","-1073741461","0xC000016B","{Hard Disk Error} While accessing the hard disk, a disk controller reset was needed, but even that failed."
"STATUS_SHARED_IRQ_BUSY","-1073741460","0xC000016C","An attempt was made to open a device that was sharing an IRQ with other devices. At least one other device that uses that IRQ was already opened. Two concurrent opens of devices that share an IRQ and only work via interrupts is not supported for the particular bus type that the devices use."
"STATUS_FT_ORPHANING","-1073741459","0xC000016D","{FT Orphaning} A disk that is part of a fault-tolerant volume can no longer be accessed."
"STATUS_PARTITION_FAILURE","-1073741454","0xC0000172","Tape could not be partitioned."
"STATUS_INVALID_BLOCK_LENGTH","-1073741453","0xC0000173","When accessing a new tape of a multivolume partition, the current blocksize is incorrect."
"STATUS_DEVICE_NOT_PARTITIONED","-1073741452","0xC0000174","Tape partition information could not be found when loading a tape."
"STATUS_UNABLE_TO_LOCK_MEDIA","-1073741451","0xC0000175","Attempt to lock the eject media mechanism fails."
"STATUS_UNABLE_TO_UNLOAD_MEDIA","-1073741450","0xC0000176","Unload media fails."
"STATUS_EOM_OVERFLOW","-1073741449","0xC0000177","Physical end of tape was detected."
"STATUS_NO_MEDIA","-1073741448","0xC0000178","{No Media} There is no media in the drive. Please insert media into drive %hs."
"STATUS_NO_SUCH_MEMBER","-1073741446","0xC000017A","A member could not be added to or removed from the local group because the member does not exist."
"STATUS_INVALID_MEMBER","-1073741445","0xC000017B","A new member could not be added to a local group because the member has the wrong account type."
"STATUS_KEY_DELETED","-1073741444","0xC000017C","Illegal operation attempted on a registry key which has been marked for deletion."
"STATUS_NO_LOG_SPACE","-1073741443","0xC000017D","System could not allocate required space in a registry log."
"STATUS_TOO_MANY_SIDS","-1073741442","0xC000017E","Too many Sids have been specified."
"STATUS_KEY_HAS_CHILDREN","-1073741440","0xC0000180","An attempt was made to create a symbolic link in a registry key that already has subkeys or values."
"STATUS_CHILD_MUST_BE_VOLATILE","-1073741439","0xC0000181","An attempt was made to create a Stable subkey under a Volatile parent key."
"STATUS_DRIVER_INTERNAL_ERROR","-1073741437","0xC0000183","An error was detected between two drivers or within an I/O driver."
"STATUS_INVALID_DEVICE_STATE","-1073741436","0xC0000184","The device is not in a valid state to perform this request."
"STATUS_IO_DEVICE_ERROR","-1073741435","0xC0000185","The I/O device reported an I/O error."
"STATUS_DEVICE_PROTOCOL_ERROR","-1073741434","0xC0000186","A protocol error was detected between the driver and the device."
"STATUS_BACKUP_CONTROLLER","-1073741433","0xC0000187","This operation is only allowed for the Primary Domain Controller of the domain."
"STATUS_LOG_FILE_FULL","-1073741432","0xC0000188","Log file space is insufficient to support this operation."
"STATUS_TOO_LATE","-1073741431","0xC0000189","A write operation was attempted to a volume after it was dismounted."
"STATUS_NO_TRUST_LSA_SECRET","-1073741430","0xC000018A","The workstation does not have a trust secret for the primary domain in the local LSA database."
"STATUS_NO_TRUST_SAM_ACCOUNT","-1073741429","0xC000018B","The SAM database on the Windows Server does not have a computer account for this workstation trust relationship."
"STATUS_TRUSTED_DOMAIN_FAILURE","-1073741428","0xC000018C","The logon request failed because the trust relationship between the primary domain and the trusted domain failed."
"STATUS_EVENTLOG_FILE_CORRUPT","-1073741426","0xC000018E","The Eventlog log file is corrupt."
"STATUS_EVENTLOG_CANT_START","-1073741425","0xC000018F","No Eventlog log file could be opened. The Eventlog service did not start."
"STATUS_TRUST_FAILURE","-1073741424","0xC0000190","The network logon failed. This may be because the validation authority can't be reached."
"STATUS_MUTANT_LIMIT_EXCEEDED","-1073741423","0xC0000191","An attempt was made to acquire a mutant such that its maximum count would have been exceeded."
"STATUS_NETLOGON_NOT_STARTED","-1073741422","0xC0000192","An attempt was made to logon, but the netlogon service was not started."
"STATUS_ACCOUNT_EXPIRED","-1073741421","0xC0000193","The user's account has expired."
"STATUS_POSSIBLE_DEADLOCK","-1073741420","0xC0000194","{EXCEPTION} Possible deadlock condition."
"STATUS_REMOTE_SESSION_LIMIT","-1073741418","0xC0000196","An attempt was made to establish a session to a network server, but there are already too many sessions established to that server."
"STATUS_EVENTLOG_FILE_CHANGED","-1073741417","0xC0000197","The log file has changed between reads."
"STATUS_FS_DRIVER_REQUIRED","-1073741412","0xC000019C","A volume has been accessed for which a file system driver is required that has not yet been loaded."
"STATUS_INVALID_LOCK_RANGE","-1073741407","0xC00001A1","A requested file lock operation cannot be processed due to an invalid byte range."
"STATUS_INVALID_ACE_CONDITION","-1073741406","0xC00001A2","{Invalid ACE Condition} The specified access control entry (ACE) contains an invalid condition."
"STATUS_DUPLICATE_PRIVILEGES","-1073741402","0xC00001A6","Duplicate privileges were specified for the token."
"STATUS_REPAIR_NEEDED","-1073741400","0xC00001A8","A portion of the file system requires repair."
"STATUS_QUOTA_NOT_ENABLED","-1073741399","0xC00001A9","Quota support is not enabled on the system."
"STATUS_NO_APPLICATION_PACKAGE","-1073741398","0xC00001AA","The operation failed because the application is not part of an application package."
"STATUS_NETWORK_OPEN_RESTRICTION","-1073741311","0xC0000201","A remote open failed because the network open restrictions were not satisfied."
"STATUS_NO_USER_SESSION_KEY","-1073741310","0xC0000202","There is no user session key for the specified logon session."
"STATUS_USER_SESSION_DELETED","-1073741309","0xC0000203","The remote user session has been deleted."
"STATUS_RESOURCE_LANG_NOT_FOUND","-1073741308","0xC0000204","Indicates the specified resource language ID cannot be found in the image file."
"STATUS_INSUFF_SERVER_RESOURCES","-1073741307","0xC0000205","Insufficient server resources exist to complete the request."
"STATUS_INVALID_BUFFER_SIZE","-1073741306","0xC0000206","The size of the buffer is invalid for the specified operation."
"STATUS_INVALID_ADDRESS_WILDCARD","-1073741304","0xC0000208","The transport rejected the network address specified due to an invalid use of a wildcard."
"STATUS_TOO_MANY_ADDRESSES","-1073741303","0xC0000209","The transport address could not be opened because all the available addresses are in use."
"STATUS_ADDRESS_ALREADY_EXISTS","-1073741302","0xC000020A","The transport address could not be opened because it already exists."
"STATUS_ADDRESS_CLOSED","-1073741301","0xC000020B","The transport address is now closed."
"STATUS_CONNECTION_DISCONNECTED","-1073741300","0xC000020C","The transport connection is now disconnected."
"STATUS_CONNECTION_RESET","-1073741299","0xC000020D","The transport connection has been reset."
"STATUS_TOO_MANY_NODES","-1073741298","0xC000020E","The transport cannot dynamically acquire any more nodes."
"STATUS_TRANSACTION_ABORTED","-1073741297","0xC000020F","The transport aborted a pending transaction."
"STATUS_TRANSACTION_TIMED_OUT","-1073741296","0xC0000210","The transport timed out a request waiting for a response."
"STATUS_TRANSACTION_NO_RELEASE","-1073741295","0xC0000211","The transport did not receive a release for a pending response."
"STATUS_TRANSACTION_NO_MATCH","-1073741294","0xC0000212","The transport did not find a transaction matching the specific token."
"STATUS_TRANSACTION_RESPONDED","-1073741293","0xC0000213","The transport had previously responded to a transaction request."
"STATUS_TRANSACTION_INVALID_ID","-1073741292","0xC0000214","The transport does not recognized the transaction request identifier specified."
"STATUS_TRANSACTION_INVALID_TYPE","-1073741291","0xC0000215","The transport does not recognize the transaction request type specified."
"STATUS_NOT_SERVER_SESSION","-1073741290","0xC0000216","The transport can only process the specified request on the server side of a session."
"STATUS_NOT_CLIENT_SESSION","-1073741289","0xC0000217","The transport can only process the specified request on the client side of a session."
"STATUS_DEBUG_ATTACH_FAILED","-1073741287","0xC0000219","{Unexpected Failure in DebugActiveProcess} An unexpected failure occurred while processing a DebugActiveProcess API request. You may choose OK to terminate the process, or Cancel to ignore the error."
"STATUS_DATA_NOT_ACCEPTED","-1073741285","0xC000021B","{Data Not Accepted} The TDI client could not handle the data received during an indication."
"STATUS_NO_BROWSER_SERVERS_FOUND","-1073741284","0xC000021C","{Unable to Retrieve Browser Server List} The list of servers for this workgroup is not currently available."
"STATUS_VDM_HARD_ERROR","-1073741283","0xC000021D","NTVDM encountered a hard error."
"STATUS_DRIVER_CANCEL_TIMEOUT","-1073741282","0xC000021E","{Cancel Timeout} The driver %hs failed to complete a cancelled I/O request in the allotted time."
"STATUS_REPLY_MESSAGE_MISMATCH","-1073741281","0xC000021F","{Reply Message Mismatch} An attempt was made to reply to an LPC message, but the thread specified by the client ID in the message was not waiting on that message."
"STATUS_MAPPED_ALIGNMENT","-1073741280","0xC0000220","{Mapped View Alignment Incorrect} An attempt was made to map a view of a file, but either the specified base address or the offset into the file were not aligned on the proper allocation granularity."
"STATUS_IMAGE_CHECKSUM_MISMATCH","-1073741279","0xC0000221","{Bad Image Checksum} The image %hs is possibly corrupt. The header checksum does not match the computed checksum."
"STATUS_LOST_WRITEBEHIND_DATA","-1073741278","0xC0000222","{Delayed Write Failed} Windows was unable to save all the data for the file %hs. The data has been lost. This error may be caused by a failure of your computer hardware or network connection. Please try to save this file elsewhere."
"STATUS_PASSWORD_MUST_CHANGE","-1073741276","0xC0000224","The user's password must be changed before signing in."
"STATUS_NOT_FOUND","-1073741275","0xC0000225","The object was not found."
"STATUS_NOT_TINY_STREAM","-1073741274","0xC0000226","The stream is not a tiny stream."
"STATUS_RECOVERY_FAILURE","-1073741273","0xC0000227","A transaction recover failed."
"STATUS_STACK_OVERFLOW_READ","-1073741272","0xC0000228","The request must be handled by the stack overflow code."
"STATUS_FAIL_CHECK","-1073741271","0xC0000229","A consistency check failed."
"STATUS_DUPLICATE_OBJECTID","-1073741270","0xC000022A","The attempt to insert the ID in the index failed because the ID is already in the index."
"STATUS_OBJECTID_EXISTS","-1073741269","0xC000022B","The attempt to set the object's ID failed because the object already has an ID."
"STATUS_CONVERT_TO_LARGE","-1073741268","0xC000022C","Internal OFS status codes indicating how an allocation operation is handled. Either it is retried after the containing onode is moved or the extent stream is converted to a large stream."
"STATUS_RETRY","-1073741267","0xC000022D","The request needs to be retried."
"STATUS_FOUND_OUT_OF_SCOPE","-1073741266","0xC000022E","The attempt to find the object found an object matching by ID on the volume but it is out of the scope of the handle used for the operation."
"STATUS_ALLOCATE_BUCKET","-1073741265","0xC000022F","The bucket array must be grown. Retry transaction after doing so."
"STATUS_PROPSET_NOT_FOUND","-1073741264","0xC0000230","The property set specified does not exist on the object."
"STATUS_MARSHALL_OVERFLOW","-1073741263","0xC0000231","The user/kernel marshalling buffer has overflowed."
"STATUS_INVALID_VARIANT","-1073741262","0xC0000232","The supplied variant structure contains invalid data."
"STATUS_ACCOUNT_LOCKED_OUT","-1073741260","0xC0000234","The user account has been automatically locked because too many invalid logon attempts or password change attempts have been requested."
"STATUS_HANDLE_NOT_CLOSABLE","-1073741259","0xC0000235","NtClose was called on a handle that was protected from close via NtSetInformationObject."
"STATUS_CONNECTION_REFUSED","-1073741258","0xC0000236","The transport connection attempt was refused by the remote system."
"STATUS_GRACEFUL_DISCONNECT","-1073741257","0xC0000237","The transport connection was gracefully closed."
"STATUS_ADDRESS_NOT_ASSOCIATED","-1073741255","0xC0000239","An address has not yet been associated with the transport endpoint."
"STATUS_CONNECTION_INVALID","-1073741254","0xC000023A","An operation was attempted on a nonexistent transport connection."
"STATUS_CONNECTION_ACTIVE","-1073741253","0xC000023B","An invalid operation was attempted on an active transport connection."
"STATUS_NETWORK_UNREACHABLE","-1073741252","0xC000023C","The remote network is not reachable by the transport."
"STATUS_HOST_UNREACHABLE","-1073741251","0xC000023D","The remote system is not reachable by the transport."
"STATUS_PROTOCOL_UNREACHABLE","-1073741250","0xC000023E","The remote system does not support the transport protocol."
"STATUS_PORT_UNREACHABLE","-1073741249","0xC000023F","No service is operating at the destination port of the transport on the remote system."
"STATUS_REQUEST_ABORTED","-1073741248","0xC0000240","The request was aborted."
